n,t_seconds
1658,1.834006980061531e-06
31780,8.75093974173069e-07
419961,5.419133231043816e-07
388982,3.7497375160455704e-07
3432,2.919696271419525e-07
24694,3.330642357468605e-07
7895,2.9208604246377945e-07
36849,4.5797787606716156e-07
146207,4.1606836020946503e-07
22353,3.341119736433029e-07
15803,2.9208604246377945e-07
93582,3.7497375160455704e-07
1206,2.919696271419525e-07
1164,2.50060111284256e-07
2880,2.9103830456733704e-07
3691,2.4994369596242905e-07
12093,2.9208604246377945e-07
31274,2.919696271419525e-07
99523,2.909218892455101e-07
550523,3.3294782042503357e-07
13505,2.9208604246377945e-07
678406,3.330642357468605e-07
3574,2.4994369596242905e-07
47954,2.919696271419525e-07
101648,3.330642357468605e-07
2610,2.4994369596242905e-07
436691,3.3294782042503357e-07
11440,2.919696271419525e-07
4634,2.4994369596242905e-07
34165,2.919696271419525e-07
480894,3.3294782042503357e-07
3630,2.50060111284256e-07
6522,2.4994369596242905e-07
2978,2.4994369596242905e-07
85894,2.919696271419525e-07
21080,2.9208604246377945e-07
1055,2.4994369596242905e-07
63194,2.9103830456733704e-07
25797,2.9208604246377945e-07
2269,2.4994369596242905e-07
316181,3.3294782042503357e-07
5881,2.50060111284256e-07
73098,2.9208604246377945e-07
84377,2.919696271419525e-07
1594,2.50060111284256e-07
4273,2.50060111284256e-07
698510,3.3294782042503357e-07
56003,3.3294782042503357e-07
10432,2.9103830456733704e-07
94371,2.919696271419525e-07
3388,2.50060111284256e-07
254002,3.330642357468605e-07
97870,2.919696271419525e-07
110987,2.909218892455101e-07
1612,2.4994369596242905e-07
154053,3.330642357468605e-07
1527,2.50060111284256e-07
419974,3.33995558321476e-07
71397,2.9208604246377945e-07
76895,3.330642357468605e-07
3596,2.4994369596242905e-07
2674,2.50060111284256e-07
15223,2.919696271419525e-07
78195,2.919696271419525e-07
15303,4.169996827840805e-07
15226,2.919696271419525e-07
75275,3.33995558321476e-07
2319,2.50060111284256e-07
13697,2.919696271419525e-07
6054,2.919696271419525e-07
6604,2.9103830456733704e-07
4762,2.4994369596242905e-07
1520,2.4994369596242905e-07
13180,2.9208604246377945e-07
6346,2.4994369596242905e-07
38595,2.919696271419525e-07
1659,2.0803418010473251e-07
1012,2.50060111284256e-07
3711,3.3294782042503357e-07
2042,2.4994369596242905e-07
96320,3.33995558321476e-07
4525,2.4994369596242905e-07
3511,2.919696271419525e-07
55628,2.919696271419525e-07
98846,2.919696271419525e-07
4409,2.4994369596242905e-07
122520,2.919696271419525e-07
52847,2.9208604246377945e-07
49842,2.919696271419525e-07
340264,3.7497375160455704e-07
587599,3.33995558321476e-07
1378,2.4994369596242905e-07
17436,2.4994369596242905e-07
1626,2.9103830456733704e-07
21337,2.9208604246377945e-07
7515,2.4994369596242905e-07
535136,3.3294782042503357e-07
101314,3.33995558321476e-07
25994,2.9208604246377945e-07
1336,2.50060111284256e-07
601710,2.919696271419525e-07
346026,2.919696271419525e-07
198520,3.33995558321476e-07
12785,2.919696271419525e-07
49207,2.9103830456733704e-07
587368,3.330642357468605e-07
8553,2.9103830456733704e-07
58554,2.919696271419525e-07
355258,2.919696271419525e-07
15793,2.9103830456733704e-07
442295,3.330642357468605e-07
109401,2.9103830456733704e-07
1024,2.919696271419525e-07
1446,2.50060111284256e-07
9859,2.919696271419525e-07
557715,3.3294782042503357e-07
13325,2.909218892455101e-07
14536,2.50060111284256e-07
